"yr","naics_code","employee_size","revenue_category","number_of_biz"
"2018","316","4","88","1"
"2018","316","5","0","0"
"2018","316","5","1","0"
"2018","316","5","2","0"
"2018","316","5","3","0"
"2018","316","5","4","0"
"2018","316","5","5","0"
"2018","316","5","6","0"
"2018","316","5","7","0"
"2018","316","5","8","0"
"2018","316","5","9","0"
"2018","316","5","10","0"
"2018","316","5","11","0"
"2018","316","5","12","0"
"2018","316","5","13","0"
"2018","316","5","88","0"
"2018","316","6","0","0"
"2018","316","6","1","0"
"2018","316","6","2","0"
"2018","316","6","3","0"
"2018","316","6","4","0"
"2018","316","6","5","0"
"2018","316","6","6","0"
"2018","316","6","7","0"
"2018","316","6","8","0"
"2018","316","6","9","0"
"2018","316","6","10","0"
